,Form type,Form description,Filing date,Reporting date
0,10-Q,Quarterly report [Sections 13 or 15(d)],2024-08-01,2024-06-30
1,10-Q,Quarterly report [Sections 13 or 15(d)],2024-04-25,2024-03-31
2,10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]",2024-02-02,2023-12-31
3,10-Q,Quarterly report [Sections 13 or 15(d)],2023-10-26,2023-09-30
4,10-Q,Quarterly report [Sections 13 or 15(d)],2023-07-27,2023-06-30
5,10-Q,Quarterly report [Sections 13 or 15(d)],2023-04-27,2023-03-31
6,10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]",2023-02-02,2022-12-31
7,10-Q,Quarterly report [Sections 13 or 15(d)],2022-10-27,2022-09-30
8,10-Q,Quarterly report [Sections 13 or 15(d)],2022-07-28,2022-06-30
9,10-Q,Quarterly report [Sections 13 or 15(d)],2022-04-28,2022-03-31
10,10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]",2022-02-03,2021-12-31
